Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
LF0319 Shepherd Pool Repairs Shasta Industries Cooperative Agreement,CT-F165-21000017,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV145955,CT,120 - Direct Expenses,Scottsdale,F165,791305.78,0,0,791305.78,09/16/2020 00:00:00,08/31/2020 00:00:00,230,246,AZ,,"Shepherd HS - Pool Replaster and Equip. Retrofit - Funding Only, Shepherd Pool Repairs",Construction,Design Bid Build (DBB),0,,
Master On-Call 2016: General Engineering - Ritoch Powell,MA-F165-17000055,Closed,Design Professional Master Contract,CNV159158,MA,102 - Design,Phoenix,F165,100000,0,0,100000,,08/30/2016 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
JOC-L15 Renewal2 Job Order Contracting Landscape Services Valley Rain,MA-F165-16000373R2,Approved,Job Order Master,MAR222550210,MA,104 - Construction,Tempe,F165,5000000,1001000.29,0,3998999.71,04/28/2018 00:00:00,,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0918 Falcon Field Higley West Ramp Reconstruction and Rehab - Jviation Project Order,DO-F165-20005469,Closed,Project Order,CNV106542,DO,102 - Design,Denver,F165,182933.8,0,0,182933.8,01/16/2020 00:00:00,01/16/2020 00:00:00,365,366,CO,MA-F165-19003178,"Falcon Field (FFZ) Higley Ramp West Reconstruct, FALCON FIELD AIRPORT (FFZ) RECONSTRUCT HIGLEY RAMP WEST - FUNDING ONLY",Professional Service,NA,182933.8,,
CP0973-WA01 & CP0973-WW01 Remote Facility RTU Upgrade Garney Companies Job Order,DO-F165-21001250,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,178754.1,0,0,178754.1,09/10/2020 00:00:00,09/08/2020 00:00:00,213,214,MO,MA-F165-19003238R1,"Remote Facility RTU Upgrade, Remote Facility RTU Upgrade WA01 - FUNDING ONLY, Remote Facility RTU Upgrade WW01 - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master On-Call 2016 RENEWAL: Mechanical Engineering - M3 Engineering,MA-F165-17000057R1,Closed,Design Professional Master Contract,VS0000005431,MA,102 - Design,Tucson,F165,1000000,0,0,1000000,08/23/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0862 Mesa Shade Structure Arizona Recreation Design DBB,CT-F165-19000063,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV115886,CT,118 - Grant - Construction,Phoenix,F165,16225.65,0,0,16225.65,08/22/2018 00:00:00,08/20/2018 00:00:00,120,121,AZ,,"Mesa Grand Shade Structure - Grant Funding Only, Mesa Grande Cultural Park Shade Structure, Mesa Grande Shade - Funding Only",Construction,Design Bid Build (DBB),0,,
CP0121 Signal Butte & Elliot Park Development Kimley-Horn,DO-F165-17009024,Closed,Project Order,CNV445118,DO,102 - Design,City Of Industry,F165,237136.45,0,0,237136.45,,05/31/2017 00:00:00,0,0,CA,MA-F165-16000354R1,"Signal Butte &amp; Elliot Development - PKB FUNDING ONLY, Signal Butte &amp; Elliot Development-Transportation FUNDING ONLY, Signal Butte &amp; Elliot Development-Water FUNDING ONLY, Signal Butte Park - Phase 1",Professional Service,NA,179671.45,,
CP0223 Gas Line Replacement-Meridian and Combs Roads JACOBS,DO-F165-18002794,Approved,Project Order,CNV42064,DO,102 - Design,Phoenix,F165,40609.86,0,0,40609.86,,10/19/2017 00:00:00,162,0,AZ,MA-F165-17000054R1,Gas Main Replacement Combs and Meridian,Professional Service,NA,40609.86,,
LF0100PDMR Police Metro Resource Fire Alarm Upgrades - LF0100 - Caliente,DO-F165-15008015,Closed,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,54207.25,0,0,54207.25,06/08/2015 00:00:00,,60,0,AZ,MA-F165-15000199,Fire Alarm for PD Metro Resources,Construction,Job Order Contracting (JOC),54207.25,,
CP0452CAP Cemetery Improvements at Smith House  - Valley Rain,DO-F165-15007514,Approved,Job Order,MAR222550210,DO,,Tempe,F165,138828.57,0,0,138828.57,02/25/2015 00:00:00,,60,0,AZ,MA-F165-14000392R1,Property Improvements at Cemetery,Construction,Job Order Contracting (JOC),138828.57,,
LF0253 Energy Resources Compliance Training Room Remodel CORE,DO-F165-17009395,Closed,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,44803,0,0,44803,,06/05/2017 00:00:00,60,0,AZ,MA-F165-16000372R1,"Energy Resources Compliance Training Rm Remodel, Energy Resources Compliance Training Rm Remodel Funding Only",Construction,Job Order Contracting (JOC),41398,,
CP0329PIMA Underground Pima Road between 6th Street and University Drive,DO-F165-15009535,Approved,Project Order,CNV483087,DO,102 - Design,Phoenix,F165,37217.25,0,0,37217.25,,05/12/2015 00:00:00,,0,AZ,MA-F165-15000210,Engineering and Design of Overhead to Underground,Professional Service,,18296.9,,
CP0333CAP Oakwood Creative Care Center  Construction Services DNG Construction,CT-F165-15000043,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000002536,CT,104 - Construction,Tempe,F165,550011,0,0,550011,10/01/2014 00:00:00,,121,0,AZ,,Oakwood Creative Care Rehabilitation Project,Construction,Design Bid Build (DBB),0,,
CP0628BDA Northwest Water Reclamation Plant Basin Drain Access Garney Job Order,DO-F165-19095119,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,9828.9,0,0,9828.9,07/08/2019 00:00:00,06/27/2019 00:00:00,60,61,MO,MA-F165-18000007R2,"NWWRP Basin Drain Access, NWWRP Basin Drain Access - FUNDING ONLY",Construction,Job Order Contracting (JOC),15336.62,,
CP0366 CP0557 GMP 2 Horne Utility and Drainage Improvements / HAYDON,CT-F165-19000089,Approved,CMAR Construction Services Contract,CNV527408,CT,104 - Construction,Phoenix,F165,6483509.71,0,0,6483509.71,12/18/2018 00:00:00,12/17/2018 00:00:00,285,478,AZ,,"Gasline Replacement Horne, Horne Rd Storm Drain Phase 2, Horne Storm Drain Phase 2-Funding only, Waterline Replacement Horne, Waterline Replacement Horne ELC - Funding Only, Waterline Replacement Horne Master, Waterline Replacement Horne WW - Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
14008992,CO-F165-14008992,Closed,Job Order,CNV668524,DO,,Phoenix,F165,541284.78,0,0,541284.78,,06/10/2014 00:00:00,,0,AZ,,Wastewater Manhole Rehabilitation,Construction,Job Order Contracting (JOC),541284.78,,
20221129Ctest2,20221129C2,Estimate,Design Professional Services Contract,CENTRAL CREATIVE LLC,MA,,Phoenix,F165,0,0,0,0,,,0,0,AZ,,20221129S3,Professional Service,NA,0,,
CP0152OM 14007297,DO-F165-14007297,Approved,Job Order,CNV668524,DO,,Phoenix,F165,183299.76,0,0,183299.76,06/02/2014 00:00:00,06/10/2014 00:00:00,44,0,AZ,,"Ocotillo &amp; Meridian 4"" PE-102",Construction,Job Order Contracting (JOC),183299.76,,
CP0968 SOSSAMAN AT BASELINE INTERSECTION IMPROVEMENTS Sunrise Engineering Project Order,DO-F165-21003814,Approved,Project Order,CNV417408,DO,102 - Design,Phoenix,F165,159818,0,0,159818,12/01/2020 00:00:00,12/01/2020 00:00:00,362,363,AZ,MA-F165-21000117,"Sossaman and Baseline - FUNDING ONLY, Sossaman and Baseline Intersection Widening",Professional Service,NA,159818,,
CP0461-0018 Lewis East Substation Rebuild Builders Guild/CMAR,CT-F165-21000044,Approved,CMAR Construction Services Contract,CNV116092,CT,104 - Construction,Mesa,F165,2496273.09,0,0,2496273.09,11/24/2020 00:00:00,11/18/2020 00:00:00,180,181,AZ,,"Lewis East, 69kv to 12kv, Transformer and Switchgear Line-up Replacement, Lewis East, 69kV to 12kV, Transformer and Switchgear Line-up Replacement-funding only",Construction,Construction Manager at Risk (CMAR),0,,
CP0623SPOT Sewer Line Rehabilitation Various Locations Phase 2 Hunter/Job Order,DO-F165-20008705,Approved,Job Order,CNV318752,DO,104 - Construction,Gilbert,F165,346621.3,0,0,346621.3,07/15/2020 00:00:00,06/17/2020 00:00:00,100,101,AZ,MA-F165-19003236,"Sewer Line Rehabilitation Various Locations Phase 2, Sewer Line Rehabilitation Various Locations Phase 2 - FUNDING ONLY",Construction,Job Order Contracting (JOC),346621.3,,
LF0454 MAC Arroyo Leak Detection Garney Companies Job Order,DO-F165-22010465,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,74270.16,0,0,74270.16,07/11/2022 00:00:00,06/23/2022 00:00:00,40,41,MO,MA-F165-19003238R2,"Mesa Arts Center Arroyo Renovation - FUNDING ONLY, Mesa Arts Center Arroyo Renovation ""SO""",Construction,Job Order Contracting (JOC),94020.16,,
Master On-Call: Water-Wastewater Infrastructure in ROW - Baker,MA-F165-15000128,Closed,Design Professional Master Contract,VS0000003462,MA,102 - Design,Pittsburgh,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,PA,,,Professional Service,,1000000,,
Master On-Call: Transportation - Aztec,MA-F165-15000190,Closed,Design Professional Master Contract,VS0000001831,MA,102 - Design,Phoenix,F165,1000000,0,22107,977893,10/15/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
14000080,MA-F165-14000080,Approved,Design Professional Master Contract,VC0000002120,MA,,Chandler,F165,1000000,0,0,1000000,06/11/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0464POM Water System Aging Main Rehab and Repairs FY 14-15 POM,DO-F165-16000140,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,35010.18,0,0,35010.18,08/17/2015 00:00:00,,45,46,AZ,MA-F165-13000770Y3,Water System Aging Main Rehab and Repair 2014 (0003),Construction,Job Order Contracting (JOC),0,,
CP0968 Sossaman and Baseline Intersection Improvements Nesbitt Contracting Job Order,DO-F165-22010869,Estimate,Job Order,CNV462756,DO,104 - Construction,Tempe,F165,1649740.59,0,0,1649740.59,,,0,0,AZ,MA-F165-22000303,"Sossaman and Baseline - FUNDING ONLY, Sossaman and Baseline Intersection Widening",Construction,Job Order Contracting (JOC),1649740.59,,
LF0033J06C Street Overlays J06C,DO-F165-15004147,Approved,Job Order,CNV570044,DO,,Tempe,F165,758840.5,0,0,758840.5,11/13/2014 00:00:00,,104,0,AZ,MA-F920-13000770Y2,Residential Street Overlay J06C,Construction,Job Order Contracting (JOC),731839.33,,
JOC-L22 Job Order Master Agreement: Haydon Building Corp.,MA-F165-23000052,Approved,Job Order Master,CNV527408,MA,104 - Construction,Phoenix,F165,5000000,385643,0,4614357,08/25/2022 00:00:00,08/25/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0366 Horne Utilities Imprv Souther to Broadway HoskinRyan,CT-F165-17000105,Approved,Design Professional Services Contract,VS0000005577,CT,102 - Design,Phoenix,F165,227021.95,0,0,227021.95,,11/17/2016 00:00:00,0,0,AZ,,"Gasline Replacement Horne, Waterline Replacement Horne, Waterline Replacement Horne ELC - Funding Only, Waterline Replacement Horne Master, Waterline Replacement Horne WW - Funding Only",Professional Service,NA,0,,
14000192,MA-F165-14000192,Approved,Design Professional Master Contract,CNV445118,MA,,City Of Industry,F165,1000000,0,0,1000000,08/13/2013 00:00:00,06/10/2014 00:00:00,,0,CA,,,Professional Service,,1000000,,
"CP0337PSDA - Pasadena Reservoir 42"" Line Rehabilitation",DO-F165-14005951,Approved,Project Order,CNV336912,DO,,Columbus,F165,102517,0,0,102517,,06/10/2014 00:00:00,,0,OH,,"Pasadena Reservoir 42"" Line Rehabilitation",Professional Service,,102517,,
Cobb Fendley Potholing On-Call Master Agreement - 1st Year Option,MA-F165-21000139R1,Approved,Design Professional Master Contract,VS0000013812,MA,102 - Design,Chandler,F165,1000000,0,0,1000000,11/10/2021 00:00:00,11/10/2021 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
2020-2023 Construction Administration and Inspection Services On-Call WoodPatel,MA-F165-21000176,Approved,Design Professional Master Contract,CNV624578,MA,,Phoenix,F165,250000,250000,0,0,,03/01/2021 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
C10335 GWRP Odor Control Expansion  CAP Archer Western Const.,CT-F165-16000072,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV41076,CT,104 - Construction,Phoenix,F165,2361957.48,0,0,2361957.48,01/28/2016 00:00:00,12/07/2015 00:00:00,240,241,AZ,,GWRP Odor Control Expansion  CAP,Construction,Design Bid Build (DBB),0,,
Rio Salado Traffic Signals CP0312RSAL Talis,DO-F165-15003869,Closed,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,198565.33,0,0,198565.33,,,,0,AZ,MA-F920-13000770Y2,Rio Salado Traffic Sginals,Construction,Job Order Contracting (JOC),220117.34,09/18/2014 00:00:00,
2020-2023 On-Call Inspection Services - Consultant Engineering Inc DO for invoicing,DO-F165-TIMESHEETCEI2021,Approved,Project Order,VS0000001251,DO,,Phoenix,F165,250000,0,0,250000,,03/01/2021 00:00:00,0,0,AZ,MA-F165-21000174,On-Call Construction Administration and Inspection Services (CEI),Professional Service,NA,0,,
CP10597-2 COM Transmission Main to City Reservoirs Phase 2   Stantec Consulting Services,CT-F165-13000297,Closed,Design Professional Services Contract,VS0000000998,CT,102 - Design,Chicago,F165,964885,0,0,964885,05/02/2013 00:00:00,,330,0,IL,,Val Vista Transmission Mains Phase II,Professional Service,,0,,
C10376SRHP HP Gas Line & Regulator Stn - Skyline Rd: Circle Cross Ranch to Hunt Hwy  Amec Foster Whee,CT-F165-16000052,Closed,Design Professional Services Contract,CNV86614,CT,102 - Design,Chicago,F165,91770,0,0,91770,08/18/2015 00:00:00,,270,0,IL,,Dist Regulator Station Skyline &amp; Hunt Hwy - OLD,Professional Service,,0,,
Residential Street Overlay K08B Higley & Southern,DO-F165-16010484,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F920,906151.25,0,0,906151.25,07/11/2016 00:00:00,06/27/2016 00:00:00,120,121,AZ,MA-F165-13000770Y4,Residential Overlay K08B,Construction,Job Order Contracting (JOC),906151.25,,
Master On-call Soils and Material Testing - AMEC Foster Wheeler,MA-F165-17000185,Closed,Design Professional Master Contract,CNV339393,MA,104 - Construction,Chicago,F165,250000,0,0,250000,01/15/2017 00:00:00,01/15/2017 00:00:00,364,365,IL,,,Professional Service,NA,0,,
CP0428 Southeast Mesa Library - Willmeng Preconstruction Services Contract,CT-F165-23000020,Approved,CMAR Pre-Construction Services Contract,VS0000011888,CT,102 - Design,Phoenix,F165,186334,0,0,186334,08/22/2022 00:00:00,08/22/2022 00:00:00,390,391,AZ,,"Southeast Mesa Library, Southeast Mesa Library - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
CP10597PIII Val Vista Transmission Main Phase 3 C10597-3 Garney Companies,CT-F165-16000067,Closed,CMAR Pre-Construction Services Contract,CNV390275,CT,102 - Design,Kansas City,F165,196700,0,0,196700,11/05/2015 00:00:00,,120,0,MO,,Val Vista Transmission Mains Phase III,Construction,Construction Manager at Risk (CMAR),0,,
C05033 Desert Well 20 Equipping Currier Construction DBB Contract,CT-F165-18000067,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV346772,CT,104 - Construction,Phoenix,F165,1317591.98,0,0,1317591.98,02/26/2018 00:00:00,02/15/2018 00:00:00,240,358,AZ,,"Desert Well 20 Drill and Equip - FUNDING ONLY, Desert Well 20 Drill and Equip - OLD, Desert Well 20 Drill and Equip Master",Construction,Design Bid Build (DBB),0,,
Eagles Park CP0211 J2 Engineering & Environmental,CT-F165-17000085,Approved,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,138163,0,0,138163,,,0,0,AZ,,Mesa JH Conversion Project Phase 1,Professional Service,NA,0,,
CP0583 Cemetery North Expansion Earthscapes Job Order,DO-F165-16010569,Closed,Job Order,VS0000008720,DO,104 - Construction,Phoenix,F165,251891.1,0,0,251891.1,,06/20/2016 00:00:00,120,0,AZ,MA-F165-16000388,Cemetery North Expansion - OLD,Construction,Job Order Contracting (JOC),250106.1,,
Master On-Call: Water Facilities - Sunrise Engineering,MA-F165-15000142,Closed,Design Professional Master Contract,CNV23329,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
"CP0076 New Gas Regulator Station, Greenfield And McDowell PAUL R PETERSON",CT-F165-18000062,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV132624,CT,104 - Construction,Phoenix,F165,257323.5,0,0,257323.5,02/22/2018 00:00:00,02/12/2018 00:00:00,90,91,AZ,,"McDowell &amp; Greenfield Regulator Stn, New Gas Regulator Station",Construction,Design Bid Build (DBB),0,,
CP0491P138 Pump Station 138 Rehab - Garney Construction,DO-F165-22006971,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,1330309.11,0,0,1330309.11,04/11/2022 00:00:00,03/08/2021 00:00:00,233,234,MO,MA-F165-19003238R2,"Pump Station 138, Pump Station 138 - FUNDING ONLY, Storm Water Pump Station No.138 Rebuild (Harmony Park)",Construction,Job Order Contracting (JOC),1328777.81,,
Master On-Call RENEWAL: Water Facilities - Wilson Engineers,MA-F165-15000147R1,Closed,Design Professional Master Contract,CNV309540,MA,102 - Design,Phoenix,F165,1000000,100675,0,899325,10/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
Master On-Call 2018: Soils & Materials Testing & Sampling - ACS,MA-F165-19000185,Closed,Design Professional Master Contract,CNV130575,MA,104 - Construction,Mesa,F165,250000,0,0,250000,01/14/2019 00:00:00,,0,0,AZ,,On-Call Mat Lab Testing ACS Services LLC,Professional Service,NA,0,,
CP0921 Falcon Field Higley Ramp East Rehab - Jviation Project Order,DO-F165-20004677,Approved,Project Order,CNV106542,DO,102 - Design,Denver,F165,99977,0,0,99977,12/09/2019 00:00:00,12/09/2019 00:00:00,365,366,CO,MA-F165-19003178,"FALCON FIELD (FFZ) HIGLEY RAMP EAST RECONSTRUCT, FALCON FIELD AIRPORT (FFZ) RECONSTRUCT HIGLEY RAMP EAST - FUNDING ONLY",Professional Service,NA,89373.2,,
CP0985EMS Public Safety Training Center Classroom and Generator TI CORE Construction Job Order,DO-F165-22003072,Approved,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,397464.91,0,0,397464.91,11/17/2021 00:00:00,11/09/2021 00:00:00,500,501,AZ,MA-F165-19003214R2,"Public Safety Training Facility – EMS Remodel, Public Safety Training Facility – EMS Remodel - FUNDING ONLY",Construction,Job Order Contracting (JOC),354299,,
CP04800054 Gas Main Extension for Smashburger B&F Contracting Inc,DO-F165-16007110,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,65684.07,0,0,65684.07,03/09/2016 00:00:00,03/02/2016 00:00:00,45,46,AZ,MA-F165-14000391R2,Gas Main Extension for Smashburger,Construction,Job Order Contracting (JOC),71185.54,,
CP0045CAP - Greenfield Water Reclamation Plant Improvement,DO-F165-14006900,Approved,Project Order,VS0000001483,DO,,Pasadena,F165,24916,0,0,24916,03/04/2014 00:00:00,06/10/2014 00:00:00,90,0,CA,,Greenfield Water Reclamation Plant Improvements,Professional Service,,24916,,
JOC-U19 Job Order Master Agreement HUNTER General Utility RENEWAL2,MA-F165-19003235R2,Approved,Job Order Master,CNV318752,MA,104 - Construction,Gilbert,F165,10000000,5345949.4,563162.59,4090888.01,06/24/2021 00:00:00,06/24/2021 00:00:00,0,0,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0553CDBG Kleinman Park Playground Improvements SDB,CT-F165-19000059,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV673366,CT,118 - Grant - Construction,Tempe,F165,323637.26,0,0,323637.26,08/20/2018 00:00:00,08/13/2018 00:00:00,120,121,AZ,,"Kleinman Park Playground Upgrades CDBG, Kleinman Park Playground Upgrades CDBG - FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
14000500,MA-F165-14000500,Closed,Job Order Master,CNV159034,MA,,Coolidge,F165,10000000,1980838.6,333979.41,7685181.99,01/09/2014 00:00:00,01/09/2014 00:00:00,,0,AZ,,,Construction,Job Order Contracting (JOC),10000000,,
CP0643SB04 Signal Butte WTP Ozone Optimization Process Applications Design Contract,CT-F165-21000014,Approved,Design Professional Services Contract,VS0000013743,CT,102 - Design,Fort Collins,F165,45170,0,0,45170,08/20/2020 00:00:00,08/20/2020 00:00:00,345,346,CO,,"SIGNAL BUTTE WTP MISC. PLANT IMP SB04 - FUNDING ONLY, Signal Butte WTP Ozone Optimization Study ""SO""",Professional Service,NA,0,,
CP0206HP Fitch Park HP Modifications  Project Order Energy Systems Design,DO-F165-15009903,Approved,Project Order,VS0000001771,DO,102 - Design,Scottsdale,F165,1800,0,0,1800,,05/11/2015 00:00:00,,0,AZ,MA-F165-15000159,Heat Pump Modifications,Professional Service,,1800,,
